event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-10-01 00:15:06 UTC,cart,5869134,1783999064136745198,,cosmoprofi,6.35,554342223,0b974342-1a53-41c1-a426-23130e770f4b
2019-10-01 00:17:10 UTC,cart,5787018,1487580006644188066,,,6.33,554342223,0b974342-1a53-41c1-a426-23130e770f4b
2019-10-01 00:21:02 UTC,cart,5836843,1487580009261432856,,pnb,0.71,554342223,0b974342-1a53-41c1-a426-23130e770f4b
2019-10-01 00:22:24 UTC,cart,5755171,1487580009387261981,,,2.48,554342223,0b974342-1a53-41c1-a426-23130e770f4b
2019-10-01 00:22:56 UTC,cart,5691026,1487580009387261981,,,2.86,554342223,0b974342-1a53-41c1-a426-23130e770f4b
2019-10-01 00:23:06 UTC,cart,5755172,1487580009387261981,,,2.29,554342223,0b974342-1a53-41c1-a426-23130e770f4b
2019-10-01 00:29:21 UTC,cart,5857007,1487580009496313889,,runail,3.17,554342223,0b974342-1a53-41c1-a426-23130e770f4b
2019-10-01 00:30:25 UTC,cart,5863222,2007399943458784057,apparel.glove,mavala,7.78,554342223,0b974342-1a53-41c1-a426-23130e770f4b
2019-10-01 00:30:56 UTC,cart,5835924,1487580009471148064,,irisk,1.51,554342223,0b974342-1a53-41c1-a426-23130e770f4b
2019-10-01 00:35:02 UTC,view,5700164,1487580009471148064,,,1.75,554342223,0b974342-1a53-41c1-a426-23130e770f4b
2019-10-01 00:35:46 UTC,cart,5700164,1487580009471148064,,,1.75,554342223,0b974342-1a53-41c1-a426-23130e770f4b
2019-10-01 00:36:22 UTC,view,7652,1487580008657454075,,,2.86,446419295,d5e0977b-b6ac-43a1-b173-63e9742e95b2
2019-10-01 00:37:27 UTC,view,39918,1487580008657454075,,,2.86,446419295,d5e0977b-b6ac-43a1-b173-63e9742e95b2
2019-10-01 00:38:33 UTC,view,5582544,1958278551207674674,,,2.7,446419295,d5e0977b-b6ac-43a1-b173-63e9742e95b2
2019-10-01 00:39:45 UTC,view,7652,1487580008657454075,,,2.86,446419295,d5e0977b-b6ac-43a1-b173-63e9742e95b2
2019-10-01 00:43:06 UTC,view,5802490,1487580009471148064,,shary,5.08,554342223,0b974342-1a53-41c1-a426-23130e770f4b
2019-10-01 00:44:00 UTC,cart,5643943,1487580010100293687,,,1.05,554342223,0b974342-1a53-41c1-a426-23130e770f4b
2019-10-01 00:44:31 UTC,cart,5809921,1487580010100293687,,grattol,2.06,554342223,0b974342-1a53-41c1-a426-23130e770f4b
2019-10-01 00:45:03 UTC,cart,5875322,1487580010100293687,,,0.92,554342223,0b974342-1a53-41c1-a426-23130e770f4b
2019-10-01 00:47:24 UTC,view,5712993,1487580010125459512,,f.o.x,2.7,554342223,0b974342-1a53-41c1-a426-23130e770f4b
2019-10-01 00:56:43 UTC,view,5756762,1487580008909111303,,,3.02,446419295,d5e0977b-b6ac-43a1-b173-63e9742e95b2
2019-10-01 00:57:25 UTC,view,5697103,1487580008657454075,,,2.22,446419295,d5e0977b-b6ac-43a1-b173-63e9742e95b2
2019-10-01 01:08:37 UTC,cart,6232,1487580008699397117,,sophin,5.24,446419295,d5e0977b-b6ac-43a1-b173-63e9742e95b2
2019-10-01 01:08:50 UTC,view,39918,1487580008657454075,,,2.86,446419295,d5e0977b-b6ac-43a1-b173-63e9742e95b2
2019-10-01 01:09:10 UTC,view,15700,1487580008657454075,,,2.86,446419295,d5e0977b-b6ac-43a1-b173-63e9742e95b2
2019-10-01 01:10:04 UTC,cart,5653535,1487580008657454075,,,2.86,446419295,d5e0977b-b6ac-43a1-b173-63e9742e95b2
2019-10-01 01:10:07 UTC,cart,15701,1487580008657454075,,,2.86,446419295,d5e0977b-b6ac-43a1-b173-63e9742e95b2
2019-10-01 01:11:34 UTC,cart,5653535,1487580008657454075,,,2.86,446419295,d5e0977b-b6ac-43a1-b173-63e9742e95b2
2019-10-01 01:11:36 UTC,cart,15701,1487580008657454075,,,2.86,446419295,d5e0977b-b6ac-43a1-b173-63e9742e95b2
2019-10-01 01:11:59 UTC,view,5691971,1487580008422573041,,cnd,6.19,446419295,d5e0977b-b6ac-43a1-b173-63e9742e95b2
2019-10-01 01:13:06 UTC,view,5854103,1487580008657454075,,,2.22,446419295,d5e0977b-b6ac-43a1-b173-63e9742e95b2
2019-10-01 01:13:10 UTC,view,5854103,1487580008657454075,,,2.22,446419295,d5e0977b-b6ac-43a1-b173-63e9742e95b2
2019-10-01 03:18:29 UTC,remove_from_cart,5830552,1487580005671109489,,masura,1.73,544418344,513b523a-be03-4bcb-85a1-eec0340170a8
2019-10-01 03:18:29 UTC,remove_from_cart,5830552,1487580005671109489,,masura,1.73,544418344,513b523a-be03-4bcb-85a1-eec0340170a8
2019-10-01 03:18:35 UTC,remove_from_cart,5796770,1487580004916134735,,,4.29,544418344,513b523a-be03-4bcb-85a1-eec0340170a8
2019-10-01 03:18:35 UTC,remove_from_cart,5796770,1487580004916134735,,,4.29,544418344,513b523a-be03-4bcb-85a1-eec0340170a8
2019-10-01 03:18:38 UTC,remove_from_cart,5833651,1921723491720102387,,,5.71,544418344,513b523a-be03-4bcb-85a1-eec0340170a8
2019-10-01 03:18:38 UTC,remove_from_cart,5833651,1921723491720102387,,,5.71,544418344,513b523a-be03-4bcb-85a1-eec0340170a8
2019-10-01 03:18:39 UTC,remove_from_cart,5550082,1487580005595612013,,,3.0,544418344,513b523a-be03-4bcb-85a1-eec0340170a8
2019-10-01 03:18:39 UTC,remove_from_cart,5550082,1487580005595612013,,,3.0,544418344,513b523a-be03-4bcb-85a1-eec0340170a8
2019-10-01 03:18:41 UTC,remove_from_cart,5815077,1487580005461394279,,bluesky,5.24,544418344,513b523a-be03-4bcb-85a1-eec0340170a8
2019-10-01 03:18:41 UTC,remove_from_cart,5815077,1487580005461394279,,bluesky,5.24,544418344,513b523a-be03-4bcb-85a1-eec0340170a8
2019-10-01 03:32:00 UTC,view,5653177,1487580012994363565,,,9.84,429179215,125c71ea-435a-4ef3-9df8-bdcfad1c46a3
2019-10-01 03:37:12 UTC,purchase,5864600,1487580013011140782,,italwax,1.24,429179215,125c71ea-435a-4ef3-9df8-bdcfad1c46a3
2019-10-01 03:37:12 UTC,purchase,6731,1487580007256556476,,,14.27,429179215,125c71ea-435a-4ef3-9df8-bdcfad1c46a3
2019-10-01 03:37:12 UTC,purchase,5770380,1487580012994363565,,italwax,10.32,429179215,125c71ea-435a-4ef3-9df8-bdcfad1c46a3
2019-10-01 03:37:12 UTC,purchase,5712801,1487580007256556476,,,3.02,429179215,125c71ea-435a-4ef3-9df8-bdcfad1c46a3
2019-10-01 03:37:12 UTC,purchase,5653177,1487580012994363565,,,9.84,429179215,125c71ea-435a-4ef3-9df8-bdcfad1c46a3
2019-10-01 03:37:12 UTC,purchase,5837635,1487580007097172916,,,5.56,429179215,125c71ea-435a-4ef3-9df8-bdcfad1c46a3
